track_id,playlist_id,date_added,track_name,first_artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
3M7Vc5kB27XYvLAIYM49Jj,5LzBRPVAPYUssZ4ZESnRmH,2017-03-19T12:19:02Z,Follow the Leader,Zenizen,0.66,0.542,5,-11.264,1,0.037,0.0445,0.0827,0.14,0.239,111.968,audio_features,3M7Vc5kB27XYvLAIYM49Jj,spotify:track:3M7Vc5kB27XYvLAIYM49Jj,https://api.spotify.com/v1/tracks/3M7Vc5kB27XYvLAIYM49Jj,https://api.spotify.com/v1/audio-analysis/3M7Vc5kB27XYvLAIYM49Jj,264167,4
0IvaKmBYBLVcdP0Ft8Dwik,5LzBRPVAPYUssZ4ZESnRmH,2017-03-19T11:01:53Z,Feels Like We're Dying,Johnny Goth,0.579,0.411,6,-13.068,1,0.0329,0.73,0.8,0.0945,0.125,79.988,audio_features,0IvaKmBYBLVcdP0Ft8Dwik,spotify:track:0IvaKmBYBLVcdP0Ft8Dwik,https://api.spotify.com/v1/tracks/0IvaKmBYBLVcdP0Ft8Dwik,https://api.spotify.com/v1/audio-analysis/0IvaKmBYBLVcdP0Ft8Dwik,185250,1
3dmsgudsfeGdQ9NsZFOm0C,5LzBRPVAPYUssZ4ZESnRmH,2017-03-19T11:01:58Z,Lovefool,No Vacation,0.819,0.688,2,-5.967,0,0.0363,0.0549,0.0568,0.0799,0.961,104.013,audio_features,3dmsgudsfeGdQ9NsZFOm0C,spotify:track:3dmsgudsfeGdQ9NsZFOm0C,https://api.spotify.com/v1/tracks/3dmsgudsfeGdQ9NsZFOm0C,https://api.spotify.com/v1/audio-analysis/3dmsgudsfeGdQ9NsZFOm0C,130962,4
1kV1laTguTB7W2ePEdFtqs,5LzBRPVAPYUssZ4ZESnRmH,2017-03-19T12:19:02Z,Good Zone,Diners,0.466,0.659,9,-5.892,1,0.0248,0.0265,0,0.0639,0.507,93.956,audio_features,1kV1laTguTB7W2ePEdFtqs,spotify:track:1kV1laTguTB7W2ePEdFtqs,https://api.spotify.com/v1/tracks/1kV1laTguTB7W2ePEdFtqs,https://api.spotify.com/v1/audio-analysis/1kV1laTguTB7W2ePEdFtqs,144200,4
0eBm5L1ECJoq7Xbl7Voe9F,5LzBRPVAPYUssZ4ZESnRmH,2017-03-19T12:19:02Z,We All Need Something,Bedroom,0.55,0.445,11,-8.143,1,0.0282,0.0166,0.853,0.109,0.227,77.537,audio_features,0eBm5L1ECJoq7Xbl7Voe9F,spotify:track:0eBm5L1ECJoq7Xbl7Voe9F,https://api.spotify.com/v1/tracks/0eBm5L1ECJoq7Xbl7Voe9F,https://api.spotify.com/v1/audio-analysis/0eBm5L1ECJoq7Xbl7Voe9F,374722,4
6nzr9B03B1g2hgRUCc2oEV,5LzBRPVAPYUssZ4ZESnRmH,2017-03-19T12:19:02Z,Carefully,Little People,0.843,0.465,11,-13.365,1,0.0683,0.0835,0.811,0.0875,0.649,133.37,audio_features,6nzr9B03B1g2hgRUCc2oEV,spotify:track:6nzr9B03B1g2hgRUCc2oEV,https://api.spotify.com/v1/tracks/6nzr9B03B1g2hgRUCc2oEV,https://api.spotify.com/v1/audio-analysis/6nzr9B03B1g2hgRUCc2oEV,219560,4
2FGTdEAvAv9w6m58c1Br2u,5LzBRPVAPYUssZ4ZESnRmH,2017-03-22T17:23:03Z,My Tears Are Wasted so Am I,Younger Lovers,0.731,0.922,9,-6.829,0,0.0439,0.144,0.877,0.479,0.953,126.459,audio_features,2FGTdEAvAv9w6m58c1Br2u,spotify:track:2FGTdEAvAv9w6m58c1Br2u,https://api.spotify.com/v1/tracks/2FGTdEAvAv9w6m58c1Br2u,https://api.spotify.com/v1/audio-analysis/2FGTdEAvAv9w6m58c1Br2u,147733,4
34RRzca2U6GqC2HLdEukuA,6hDHXewz8qBTezvONSqzyl,2017-04-01T21:16:42Z,The Boy From Leeds (Next Summer In England),Younger Lovers,0.603,0.801,1,-5.261,1,0.033,0.265,0,0.134,0.856,133.066,audio_features,34RRzca2U6GqC2HLdEukuA,spotify:track:34RRzca2U6GqC2HLdEukuA,https://api.spotify.com/v1/tracks/34RRzca2U6GqC2HLdEukuA,https://api.spotify.com/v1/audio-analysis/34RRzca2U6GqC2HLdEukuA,109493,4
4loxhrC7MqARWyHLofmhtW,6hDHXewz8qBTezvONSqzyl,2017-04-04T21:26:09Z,Beach Bummer,No Vacation,0.689,0.783,10,-5.148,1,0.0447,0.0654,0.237,0.147,0.756,129.955,audio_features,4loxhrC7MqARWyHLofmhtW,spotify:track:4loxhrC7MqARWyHLofmhtW,https://api.spotify.com/v1/tracks/4loxhrC7MqARWyHLofmhtW,https://api.spotify.com/v1/audio-analysis/4loxhrC7MqARWyHLofmhtW,148192,4
6OHIq8UbH7oEbnQf6jPMas,6hDHXewz8qBTezvONSqzyl,2017-04-12T20:22:20Z,Wake Up,moow,0.822,0.107,1,-13.824,1,0.0862,0.882,0.861,0.084,0.622,77.467,audio_features,6OHIq8UbH7oEbnQf6jPMas,spotify:track:6OHIq8UbH7oEbnQf6jPMas,https://api.spotify.com/v1/tracks/6OHIq8UbH7oEbnQf6jPMas,https://api.spotify.com/v1/audio-analysis/6OHIq8UbH7oEbnQf6jPMas,82843,4
2aitAdHyBLIOqMBPdd4DM3,6hDHXewz8qBTezvONSqzyl,2017-04-18T15:45:47Z,Pastels2,The Deli,0.746,0.481,11,-7.575,1,0.19,0.619,0.84,0.103,0.941,167.958,audio_features,2aitAdHyBLIOqMBPdd4DM3,spotify:track:2aitAdHyBLIOqMBPdd4DM3,https://api.spotify.com/v1/tracks/2aitAdHyBLIOqMBPdd4DM3,https://api.spotify.com/v1/audio-analysis/2aitAdHyBLIOqMBPdd4DM3,93095,4
7uCcBDQiqP7A3LDiY4yDVQ,00riJCYiVJ1yptAXtv2h6k,2017-05-02T15:13:53Z,Crew (Daedelus Remix),Mono/Poly,0.432,0.745,0,-6.112,1,0.2,0.125,0.000139,0.112,0.197,120.154,audio_features,7uCcBDQiqP7A3LDiY4yDVQ,spotify:track:7uCcBDQiqP7A3LDiY4yDVQ,https://api.spotify.com/v1/tracks/7uCcBDQiqP7A3LDiY4yDVQ,https://api.spotify.com/v1/audio-analysis/7uCcBDQiqP7A3LDiY4yDVQ,210773,4
3aEtEYik8TxlLrucpNzvzU,00riJCYiVJ1yptAXtv2h6k,2017-05-02T15:13:58Z,Crypto Bell,Mono/Poly,0.463,0.684,0,-3.34,0,0.0269,0.00917,0.144,0.109,0.495,214.021,audio_features,3aEtEYik8TxlLrucpNzvzU,spotify:track:3aEtEYik8TxlLrucpNzvzU,https://api.spotify.com/v1/tracks/3aEtEYik8TxlLrucpNzvzU,https://api.spotify.com/v1/audio-analysis/3aEtEYik8TxlLrucpNzvzU,134573,4
0eesOi8JLDARItbDnPzlrI,00riJCYiVJ1yptAXtv2h6k,2017-05-02T15:14:02Z,While You Doooo,Teebs,0.814,0.908,5,-6.551,0,0.22,0.26,0.844,0.112,0.559,93.818,audio_features,0eesOi8JLDARItbDnPzlrI,spotify:track:0eesOi8JLDARItbDnPzlrI,https://api.spotify.com/v1/tracks/0eesOi8JLDARItbDnPzlrI,https://api.spotify.com/v1/audio-analysis/0eesOi8JLDARItbDnPzlrI,90970,4
6flpKpHgvh6jHcN3rhFFlt,00riJCYiVJ1yptAXtv2h6k,2017-05-02T15:14:07Z,Sadboy,Naaz,0.773,0.426,10,-7.906,0,0.0734,0.0531,8.49e-05,0.145,0.262,103.022,audio_features,6flpKpHgvh6jHcN3rhFFlt,spotify:track:6flpKpHgvh6jHcN3rhFFlt,https://api.spotify.com/v1/tracks/6flpKpHgvh6jHcN3rhFFlt,https://api.spotify.com/v1/audio-analysis/6flpKpHgvh6jHcN3rhFFlt,189383,4
6CQaVuICm1WVXyy3SZ5jEI,00riJCYiVJ1yptAXtv2h6k,2017-05-10T03:09:25Z,"Valerie - Live At BBC Radio 1 Live Lounge, London / 2007",Amy Winehouse,0.739,0.365,5,-5.731,0,0.0415,0.751,1.65e-06,0.161,0.699,96.095,audio_features,6CQaVuICm1WVXyy3SZ5jEI,spotify:track:6CQaVuICm1WVXyy3SZ5jEI,https://api.spotify.com/v1/tracks/6CQaVuICm1WVXyy3SZ5jEI,https://api.spotify.com/v1/audio-analysis/6CQaVuICm1WVXyy3SZ5jEI,233733,4
7j8k8M9korrPWTERMyD7mM,00riJCYiVJ1yptAXtv2h6k,2017-05-10T03:09:25Z,Stand Tall,Childish Gambino,0.31,0.252,2,-13.231,0,0.0384,0.673,0.00525,0.133,0.119,88.85,audio_features,7j8k8M9korrPWTERMyD7mM,spotify:track:7j8k8M9korrPWTERMyD7mM,https://api.spotify.com/v1/tracks/7j8k8M9korrPWTERMyD7mM,https://api.spotify.com/v1/audio-analysis/7j8k8M9korrPWTERMyD7mM,370773,4
5LTgI9VsuL3NKrv2WHBgNx,00riJCYiVJ1yptAXtv2h6k,2017-05-10T03:09:25Z,Have Some Love,Childish Gambino,0.783,0.803,4,-6.433,0,0.0848,0.0159,0.0197,0.682,0.931,148.184,audio_features,5LTgI9VsuL3NKrv2WHBgNx,spotify:track:5LTgI9VsuL3NKrv2WHBgNx,https://api.spotify.com/v1/tracks/5LTgI9VsuL3NKrv2WHBgNx,https://api.spotify.com/v1/audio-analysis/5LTgI9VsuL3NKrv2WHBgNx,224253,4
